phase_number,eval_stage,avg_cumulative_reward,avg_steps,success_rate,battery_depleted_rate,ran_out_of_steps_rate,avg_percent_delivered
1,0,-2909.835652744232,1000.0,0.0,0.0,1.0,0.0
1,1,-209.28011497258575,428.95,0.67,0.0,0.33,0.67
1,2,-136.4334866509783,322.09,0.76,0.0,0.24,0.76
2,0,-294.4080480018109,400.0,0.0,1.0,0.0,0.61
2,1,-202.58128180256583,400.01,0.0,1.0,0.0,0.55
2,2,-191.52931502618299,400.03,0.0,1.0,0.0,0.76
3,0,-187.51442521365993,403.96,0.0,1.0,0.0,0.4600000000000001
3,1,-231.9898978530921,610.61,0.65,0.01,0.34,0.7966666666666665
3,2,-282.5926054506014,653.68,0.65,0.0,0.35,0.78
4,0,-431.8376310689902,999.97,0.01,0.0,0.99,0.08999999999999998
4,1,-380.2184623111565,954.58,0.15,0.01,0.84,0.43333333333333335
4,2,-303.7805284449074,836.81,0.51,0.01,0.48,0.76
5,0,-379.90224684332696,1000.0,0.0,0.0,1.0,0.17000000000000007
5,1,-191.91131381218267,593.45,0.5,0.37,0.13,0.7
5,2,-189.20749694885396,579.39,0.46,0.46,0.08,0.6166666666666668
